nrcs_fips,nrcs_county_bare,nrcs_abbr,nrcs_county
01001,Autauga,AL,Autauga County
01003,Baldwin,AL,Baldwin County
01005,Barbour,AL,Barbour County
01007,Bibb,AL,Bibb County
01009,Blount,AL,Blount County
01011,Bullock,AL,Bullock County
01013,Butler,AL,Butler County
01015,Calhoun,AL,Calhoun County
01017,Chambers,AL,Chambers County
01019,Cherokee,AL,Cherokee County
01021,Chilton,AL,Chilton County
01023,Choctaw,AL,Choctaw County
01025,Clarke,AL,Clarke County
01027,Clay,AL,Clay County
01029,Cleburne,AL,Cleburne County
01031,Coffee,AL,Coffee County
01033,Colbert,AL,Colbert County
01035,Conecuh,AL,Conecuh County
01037,Coosa,AL,Coosa County
01039,Covington,AL,Covington County
01041,Crenshaw,AL,Crenshaw County
01043,Cullman,AL,Cullman County
01045,Dale,AL,Dale County
01047,Dallas,AL,Dallas County
01049,DeKalb,AL,DeKalb County
01051,Elmore,AL,Elmore County
01053,Escambia,AL,Escambia County
01055,Etowah,AL,Etowah County
01057,Fayette,AL,Fayette County
01059,Franklin,AL,Franklin County
01061,Geneva,AL,Geneva County
01063,Greene,AL,Greene County
01065,Hale,AL,Hale County
01067,Henry,AL,Henry County
01069,Houston,AL,Houston County
01071,Jackson,AL,Jackson County
01073,Jefferson,AL,Jefferson County
01075,Lamar,AL,Lamar County
01077,Lauderdale,AL,Lauderdale County
01079,Lawrence,AL,Lawrence County
01081,Lee,AL,Lee County
01083,Limestone,AL,Limestone County
01085,Lowndes,AL,Lowndes County
01087,Macon,AL,Macon County
01089,Madison,AL,Madison County
01091,Marengo,AL,Marengo County
01093,Marion,AL,Marion County
01095,Marshall,AL,Marshall County
01097,Mobile,AL,Mobile County
01099,Monroe,AL,Monroe County
01101,Montgomery,AL,Montgomery County
01103,Morgan,AL,Morgan County
01105,Perry,AL,Perry County
01107,Pickens,AL,Pickens County
01109,Pike,AL,Pike County
01111,Randolph,AL,Randolph County
01113,Russell,AL,Russell County
01115,St Clair,AL,St Clair County
01117,Shelby,AL,Shelby County
01119,Sumter,AL,Sumter County
01121,Talladega,AL,Talladega County
01123,Tallapoosa,AL,Tallapoosa County
01125,Tuscaloosa,AL,Tuscaloosa County
01127,Walker,AL,Walker County
01129,Washington,AL,Washington County
01131,Wilcox,AL,Wilcox County
01133,Winston,AL,Winston County
02013,Aleutians East,AK,Aleutians East County
02016,Aleutians West,AK,Aleutians West County
02020,Anchorage,AK,Anchorage County
02050,Bethel,AK,Bethel County
02060,Bristol Bay,AK,Bristol Bay County
02068,Denali,AK,Denali County
02070,Dillingham,AK,Dillingham County
02090,Fairbanks North Star,AK,Fairbanks North Star Borough
02100,Haines,AK,Haines County
02110,Juneau,AK,Juneau County
02122,Kenai Peninsula,AK,Kenai Peninsula Borough
02130,Ketchikan Gateway,AK,Ketchikan Gateway Borough
02150,Kodiak Island,AK,Kodiak Island Borough
02164,Lake and Peninsula,AK,Lake and Peninsula County
02170,Matanuska-Susitna,AK,Matanuska-Susitna County
02180,Nome,AK,Nome County
02185,North Slope,AK,North Slope County
02188,Northwest Arctic,AK,Northwest Arctic County
02201,Prince of Wales-Outer Ketchikan,AK,Prince of Wales-Outer Ketchikan County
02220,Sitka,AK,Sitka County
02232,Skagway-Hoonah-Angoon,AK,Skagway-Hoonah-Angoon County
02240,Southeast Fairbanks,AK,Southeast Fairbanks County
02261,Valdez-Cordova,AK,Valdez-Cordova County
02270,Wade Hampton,AK,Wade Hampton County
02280,Wrangell-Petersburg,AK,Wrangell-Petersburg County
02282,Yakutat,AK,Yakutat County
